TCGA-19-1389,TCGA-19-1787,TCGA-19-0957,TCGA-19-1390,TCGA-19-2629,TCGA-32-2632,TCGA-06-2558,TCGA-16-1045,TCGA-32-1982,TCGA-14-1034,TCGA-28-2513,TCGA-12-0821,TCGA-14-2554,TCGA-14-0789,TCGA-16-0846,TCGA-32-1970,TCGA-06-2563,TCGA-14-0817,TCGA-14-0790,TCGA-19-2620,TCGA-12-1597,TCGA-12-3652,TCGA-06-0125,TCGA-28-2509,TCGA-32-2638,TCGA-06-2562,TCGA-14-0736,TCGA-06-2567,TCGA-06-2559,TCGA-02-2485,TCGA-27-2521,TCGA-02-2486,TCGA-19-2625,TCGA-28-2514,TCGA-27-1834,TCGA-41-2571,TCGA-19-2619,TCGA-14-1823,TCGA-14-1825,TCGA-27-2523,TCGA-27-1831,TCGA-14-1829,TCGA-27-2524,TCGA-12-3650,TCGA-06-0878,TCGA-32-2634,TCGA-27-2528,TCGA-27-2526,TCGA-28-1753,TCGA-27-1830,TCGA-28-1747,TCGA-14-0787,TCGA-27-1832,TCGA-06-0129,TCGA-19-2624,TCGA-27-2519,TCGA-27-1837,TCGA-06-0882,TCGA-06-2561,TCGA-06-2569,TCGA-06-0130,TCGA-12-3653,TCGA-06-0141
CYC1,1391.0974,2808.3549,1247.5463,1931.4135,2407.0760,3778.3918,2286.3636,1328.9720,3075.6232,965.1426,2271.2218,1586.7534,2420.9257,1308.9071,1547.2779,2222.3310,3556.3422,6163.5719,2545.3925,1972.5275,5099.3915,7743.5733,1706.2538,2158.8176,1971.6981,1774.7425,4412.6268,2473.7010,1846.7996,2288.5714,5144.6195,2699.3902,2146.9965,1709.7581,2011.0803,3446.8851,1120.8472,2213.8035,4021.7391,2920.3540,6270.2703,6153.5656,5362.4794,4986.3014,1738.2733,2093.2839,2693.0033,5521.3483,1823.1511,1378.1250,2100.8917,2584.9057,1826.8037,1663.8510,1969.2625,2015.6082,2063.4548,2257.8904,1619.7183,3394.9263,1959.7731,3353.1545,2841.8891
SDHB,1155.5229,2114.1258,908.3969,971.2018,1155.4631,1342.3598,1462.1212,1137.0717,1411.0689,1311.6040,1243.6223,1481.7268,1505.7859,906.5066,1271.6332,1068.0705,1473.0383,3324.1673,1578.8396,1154.7619,1651.1156,2697.9434,860.0530,1573.6473,1052.2799,1226.6010,2733.9346,1196.4722,1345.7503,1267.1429,1606.7849,2097.5610,1460.6952,1216.3194,1216.0665,1502.0505,773.6711,2033.7584,1494.9833,1401.3766,2592.1188,3255.1523,2211.1094,1665.2397,1223.1508,778.5694,1440.7425,2340.4494,947.4812,942.1875,1307.9272,1343.9768,1011.1776,1079.5665,1063.2285,1335.3068,1112.8085,1170.4799,714.3662,1139.3510,1687.9835,1291.5156,2066.2218
COQ7,384.7716,380.7063,470.5562,464.4347,392.0916,426.6372,487.8788,470.4050,397.1272,379.0554,417.7234,553.0455,554.4841,325.9634,308.3095,479.9216,450.7375,473.9901,348.1229,394.6886,459.7701,525.7069,365.8586,496.9940,392.6887,390.9539,689.9662,553.8200,513.6411,488.0952,493.8870,336.5854,598.2090,469.0201,567.3130,559.3681,382.8904,511.6279,540.1338,419.6657,512.4819,631.0414,210.8100,368.1507,563.8789,563.5034,397.9058,383.1461,370.8467,455.7292,375.7176,452.8302,555.4928,434.7109,457.5554,624.3272,319.6240,323.8296,484.5070,294.5133,361.5266,409.7172,387.5770
SDHA,1875.5351,3313.5228,2535.9869,2380.7876,1885.9521,2665.3772,1780.3030,2138.3178,1498.9438,2202.5049,1544.3831,1648.7286,1469.1418,1783.9545,1844.6991,2204.2116,2111.1504,1518.9227,2195.9044,2569.5971,2635.5646,1192.8021,1912.8132,2200.9018,1816.8239,1513.2109,961.6685,2150.2497,1587.6180,1761.4286,2024.0115,1722.5610,1986.6888,2391.1734,1398.8920,2138.5525,3106.7276,1442.6107,1702.3411,2115.6342,1175.9851,754.3316,2347.0579,1892.1233,1828.3667,1779.4243,2326.9871,2181.4607,1649.5177,1769.2708,2140.4666,1912.1916,2361.5220,1759.0342,1828.9840,1961.2487,1848.4136,2056.0835,1997.1831,1498.0531,1788.5508,1852.7919,1092.4025
UQCRC1,2695.2135,4092.5926,2523.9913,4021.5732,4087.8252,4147.0019,3120.7071,2632.3988,3163.4981,2777.7275,3230.7922,3809.8167,3046.7695,2286.7972,3115.1862,3433.8883,3917.8761,5664.0680,3064.1638,3512.8205,6745.7742,7554.6272,2728.8653,3875.2505,2878.1447,2998.6565,6187.1477,2738.0725,2914.4806,3327.6190,4210.5959,2436.5854,2280.1595,3817.1236,2879.7784,4705.7577,3495.4319,2895.7239,6969.8997,5354.5723,5284.9185,4738.2820,6667.4652,6339.8973,1729.7939,3765.5552,4304.6168,9979.2135,2894.9625,2605.7292,3698.5465,3611.7562,3133.7925,2483.0030,3754.9252,3881.0549,3495.8872,2693.8871,2562.8169,1872.3304,2187.2099,2712.1102,4137.5770
MRPL12,779.8119,1184.7545,538.7132,978.1215,1298.6472,1144.1227,1044.4444,652.3364,1157.5834,598.7626,942.2647,1046.0083,1060.2700,680.9855,1082.5215,920.6660,1330.5015,1896.5273,1240.2730,578.7546,1141.3117,3227.5064,750.4583,863.2265,761.7925,804.7470,2054.1150,856.4446,807.4502,799.5238,2001.5420,1206.0976,1218.4410,698.4622,801.6620,1109.9041,727.1595,1090.7727,1235.7860,1338.0531,2491.4380,1760.3502,2811.1993,1821.9178,630.6540,1010.7343,1144.2170,2418.5393,748.1243,606.7708,872.6029,1185.0508,1104.2114,649.3881,899.4327,1149.6233,961.2221,867.7696,731.8310,843.4218,640.5364,941.2618,1123.7166
ATP5D,983.9764,773.0405,1007.6336,1502.3914,2419.1467,1899.9724,1047.9798,684.1121,2436.8399,1160.1026,1488.2888,1214.9024,1709.2575,1392.2931,1379.9427,2195.8864,2552.4484,2819.5606,2259.3857,2020.1465,1482.0825,5166.4524,1434.5080,1403.3066,1620.6761,914.0170,2411.4994,1095.7390,825.8132,1957.1429,2007.7101,1163.4146,1851.4772,1975.5976,930.7479,1593.9047,1253.7375,1207.0518,1326.0870,2160.4720,2015.2672,1795.3675,3934.1219,3137.8425,909.4137,1123.2070,2215.1356,2855.6180,1258.3065,773.9583,1216.5628,1603.7736,1768.0930,932.4653,1212.1712,1248.1163,1209.1657,1513.0822,1030.4225,748.0826,959.2573,1978.9703,1242.8131
COX5A,1465.9980,2143.4109,1061.0687,959.8046,1014.7763,1963.5258,1151.0101,1030.5296,1750.7393,1089.4824,1294.9426,1757.0668,1905.9788,1108.6545,1377.6504,1006.8560,2007.3156,2710.7016,2102.3891,1345.2381,1759.9730,3340.6170,1193.3184,1351.7034,1121.8553,1893.4169,3585.1184,863.2451,1136.9360,1576.1905,2168.9613,1947.5610,1586.1756,1576.6080,893.6288,2003.1266,1171.5116,2024.7562,1719.0635,1639.3314,4047.0394,3737.3701,2209.9117,2233.7329,1359.8809,1573.8577,1896.7158,3633.7079,1216.5059,1068.2292,1403.2002,1646.5893,1878.2884,900.7376,1256.3177,862.2174,1354.8766,1478.3527,1421.9718,1467.3746,2002.5786,1894.1262,1867.5565
ISCA2,331.6164,352.2825,327.1538,155.8970,268.4703,455.9271,550.0000,317.1340,407.2666,439.4145,512.0095,376.5819,866.4417,368.9198,456.7335,325.6611,524.8378,959.3196,537.2014,435.8974,588.9114,952.4422,244.8564,538.5772,417.4528,529.7806,1177.0011,583.9974,357.8174,469.0476,679.8106,939.6341,281.6909,217.4632,326.3158,439.8400,446.4286,794.4486,264.2140,426.3520,1823.8085,1248.9513,876.1791,478.5959,239.5425,248.8838,423.6078,947.7528,299.0354,287.5000,431.9042,561.6836,630.4618,230.7470,339.1439,345.5328,353.7015,469.3183,316.6197,656.0472,286.2300,251.6316,503.0801
PMPCB,1607.9467,1808.6606,1170.6870,1735.5409,1076.1790,1993.8270,1937.2980,1681.9688,1668.0355,1431.4773,1567.6563,2214.1786,2127.3819,1171.2950,1307.0716,1733.7806,2301.0454,2451.6003,1925.0580,1274.4048,1802.5152,1771.0990,1896.5207,1979.9850,1221.0849,1754.8545,1998.8726,1710.7045,1837.1301,1924.5857,1788.7653,1961.3232,1379.6757,1208.2429,1796.4543,1569.1276,1256.0797,2825.6714,1561.9231,1946.0924,4645.8923,3396.5202,2381.2667,2078.7243,1643.6540,1433.8216,1325.1642,2714.8315,1367.2240,1644.5156,1864.8980,1877.9681,2156.1928,1427.7267,1857.3079,1549.2949,1368.7309,1686.3499,1660.6930,1261.5693,2210.6395,1722.2770,2588.4189
UQCRFS1,1285.3909,1768.3032,1298.2552,1232.9297,1596.6701,1978.9997,2017.6768,1451.0903,2440.2197,1655.0475,1667.3131,2118.5098,2817.2613,1547.0625,1902.5788,2114.5935,2615.2212,3735.7902,2633.4471,2341.5751,2828.9385,5356.6838,1849.6639,1711.9238,1755.1101,1578.5938,4094.7012,1396.2384,1384.5750,2102.8571,2714.8364,1959.1463,1416.1368,2789.7023,1623.8227,2547.7745,1745.4319,2606.1515,2429.7659,1942.9695,3585.7231,6405.2526,4777.3619,3655.8219,1358.8209,1782.8441,2911.4707,3098.8764,1912.1115,1555.2083,1845.8532,1769.2308,1081.6303,1355.2268,1359.8762,1012.9171,1466.5100,1615.8630,1012.3944,737.2271,1617.8442,1883.9739,3016.9405
ATP5A1,5918.3553,17823.4281,7315.1581,7900.2748,9475.5463,10335.4518,6325.2525,11004.3614,11111.1111,7680.0966,8019.6927,9060.6742,8615.7184,7637.3973,7553.0086,9008.3252,11834.8083,12995.6060,10872.3549,9652.9304,10497.6335,15043.7018,9267.8753,9859.7194,8045.9906,7374.3842,15515.2198,6262.0338,5976.3903,10018.5714,14754.9290,8489.0244,7390.5439,10792.0704,7140.7202,9322.6052,8481.3123,12778.6947,11249.1639,10273.3530,17201.5680,17672.0773,14763.2879,12952.9110,8933.0288,4665.3368,12642.0752,13615.1685,8859.5927,6853.1250,10376.9390,9177.7939,8267.3592,6886.9752,8431.9752,8007.5350,8727.3796,10249.4427,8765.6338,9253.0973,9460.0309,12171.8637,12632.4435
OGDH,3945.5702,6694.2291,2719.1930,2932.3293,4357.9605,6381.3208,2681.8182,3933.9564,3013.0967,4682.0582,3344.7710,2842.8149,1712.6326,3789.0082,3618.9112,11674.8286,3389.7345,1661.8001,2996.5870,3055.8608,2214.3340,1959.5116,3710.7354,3991.4830,2761.0063,2851.3211,2981.9617,3931.1444,2519.9370,2844.2857,3022.7999,2501.2195,3771.5846,2841.3037,4925.7618,3568.1796,3984.2193,2597.8995,2118.7291,1834.0216,1863.4207,1437.1694,3730.4986,2325.3425,3860.2386,2597.1312,2433.1271,3760.6742,3257.2347,3481.7708,2831.8065,3584.9057,4625.9456,1808.0679,2593.9144,4248.1163,2673.3255,3467.7930,4015.2113,1248.8496,3244.9716,3833.9376,3054.9281
PDHB,1409.2185,1142.5495,1249.1821,1050.5749,1507.1800,1225.2003,1475.2525,1267.9128,1524.2924,1270.5598,1339.1019,1841.7504,1403.5680,1253.9482,1238.3954,1065.6219,1443.7758,1928.2778,1492.1502,1501.8315,1317.7823,2127.8920,1215.3188,1367.2345,1198.1132,1411.5540,1998.8726,1170.9701,1012.5918,1157.6190,2012.1159,1110.3659,814.8548,1649.8636,1648.7535,1315.9870,1402.4086,1519.8800,3453.1773,1376.5978,2416.3400,2972.8251,1814.6429,1372.4315,719.6875,1272.1573,1645.4069,2407.8652,1310.8253,1097.9167,1546.8426,1565.3120,1320.9890,1040.4219,1387.9319,1663.0786,1357.2268,1472.7209,1532.3944,1615.1032,1237.2357,908.6294,2033.3676
UQCRC2,1052.8366,2452.1964,2122.6827,2364.9130,2595.6296,2322.7411,2957.0707,3295.3271,3352.7672,2096.2728,2490.8250,3232.6434,2846.1909,2206.5698,2178.2235,2398.6288,4244.0118,5018.2849,2686.0068,3008.2418,4162.2718,6001.2853,2427.7857,2863.7275,2332.1541,2891.6256,3639.2334,2381.0435,3388.7723,2760.0000,2952.3075,2336.5854,2309.3529,3245.3613,1326.3158,2487.7160,2837.2093,3210.0525,2802.6756,3152.4090,4736.1254,5121.2840,2408.7438,4060.7877,2755.7991,2781.4192,3767.2537,3360.6742,1812.4330,2476.0417,2989.6177,2410.0145,2087.3885,2605.7934,2192.0578,2303.5522,2304.3478,2226.4461,3091.2676,3319.4100,2230.0155,2196.5192,4645.7906
SDHD,1642.3768,1425.4953,970.0109,532.8177,1249.5317,1234.5952,1537.8788,1703.4268,1899.4508,1403.3499,1419.0661,1966.1739,2323.5294,1217.3089,993.6963,1253.6729,1557.9941,2147.6967,1597.9522,1379.1209,1401.6227,2524.4216,880.4237,1111.2224,1226.8082,1280.3403,4188.2751,1300.1806,1589.7167,1404.2857,2418.3280,2350.6098,1427.4044,1225.5340,1457.0637,1126.3907,1166.5282,2444.8612,1207.3579,1265.6834,4380.4415,5911.3624,2172.1815,1232.0205,1500.8506,1159.6846,1753.9267,3474.7191,1000.0000,822.3958,1328.4475,1531.2046,1678.6722,1001.2773,1050.8510,1744.3488,1105.7579,1559.5448,1610.7042,1277.6401,1343.4760,1220.4496,2509.7536
MRPS35,1022.6348,1452.6270,835.8779,764.8316,1059.3132,856.5902,1403.0303,1028.0374,1101.8166,970.5749,1121.2890,1504.4352,2275.3134,847.1257,1089.9713,896.6699,1379.1150,1763.8554,1944.7099,1050.3663,1290.7370,1771.2082,953.3510,1405.8116,965.4088,1381.5495,1705.7497,843.6936,1333.6831,1255.2381,1742.0421,1627.4390,1058.1333,685.5619,1012.7424,797.2467,1105.8970,2463.6159,1219.0635,1367.9449,3051.7846,3371.8767,1661.9254,1532.5342,1217.8512,1041.5123,1430.7473,1638.2022,918.5423,1072.9167,1050.9344,1011.6110,928.9827,791.9568,823.1047,1248.6545,851.9389,976.1821,2331.8310,1332.3894,1043.3213,1278.4627,1693.5318
UQCRQ,2470.5117,2468.9922,1462.3773,1045.2834,2489.9063,3384.9130,3316.6667,1932.7103,3678.9185,1634.5254,2418.0218,3324.4234,4561.7165,1262.7922,2308.8825,1744.8580,2526.4897,5666.3359,3137.8840,1710.6227,4009.4659,6717.2237,1300.4685,2903.3066,1885.6132,1717.8683,7470.1240,1915.2056,1838.9297,1987.1429,2608.2168,3783.5366,2925.4876,1739.7053,1631.0249,3376.2280,1345.0997,6537.1343,2824.4147,2508.5546,14126.6763,10516.1408,7487.9473,4074.4863,1819.8873,2280.6118,2466.9205,6367.4157,1519.8285,1845.3125,1795.0409,2611.7562,3274.2464,1168.9810,2127.2821,2837.4596,1949.4712,2233.9552,1775.2113,825.9587,2314.0794,2056.5627,4549.2813
MRPL53,447.2351,486.6494,369.4984,320.7490,931.1759,838.1155,595.9596,506.5421,561.0477,408.8668,625.9884,621.1709,755.5448,340.4927,577.2092,448.4574,434.6903,1299.6286,389.0785,501.8315,993.0426,1342.5450,319.0059,609.9649,423.4198,425.7188,1266.0654,850.6344,421.8258,507.8143,900.2974,802.8354,827.0341,329.8806,577.8393,849.8627,338.4551,1163.3158,749.1639,686.3441,1398.8034,984.1328,1178.0207,815.9247,452.5870,579.8423,468.9053,1375.2809,350.4823,399.7708,449.9817,760.5225,713.5599,315.2293,467.8700,974.8977,404.8531,466.5024,487.3239,485.4749,389.1955,712.1102,767.2279
DBT,385.3757,738.5874,692.4755,428.6150,491.5713,418.9002,719.1919,609.9688,381.9180,916.8553,397.4340,800.4731,540.9836,469.3620,549.5702,632.7130,553.6283,652.0198,662.1160,637.3626,524.6788,519.2802,470.1569,507.0140,467.3742,501.5674,735.0620,613.7499,591.2907,587.6190,455.9974,385.3659,594.1116,617.8350,562.3269,432.1855,410.7143,753.9385,593.6455,471.1898,769.9608,958.5993,377.3020,426.3699,491.8041,648.6178,703.4745,553.3708,342.9796,585.4167,546.2318,384.6154,487.2982,714.4917,531.8205,538.2131,481.7861,537.8388,648.4507,687.1976,500.2579,671.5011,617.5565
PDK4,440.3430,462.9630,2752.4537,894.6779,2380.8533,353.6889,235.3535,1961.9938,1416.1386,583.0693,3388.3336,413.4831,448.8910,209.7284,1272.7794,404.9951,139.2330,732.5301,254.6075,1315.0183,1329.9527,178.0206,180.4848,416.8337,1303.4591,112.8527,414.8816,283.9231,465.8972,685.2381,397.8412,1072.5610,182.8430,133.1501,161.7729,598.8183,600.9136,105.7764,515.0502,28.7119,335.0526,613.5327,96.4216,381.8493,261.8009,760.3306,162.3037,244.9438,4713.8264,1966.1458,924.8809,246.7344,448.4588,1150.0268,255.3894,420.3445,59.9295,1009.0344,633.2394,832.5664,710.1599,238.5787,1414.7844
MRPS27,1246.7325,1653.3161,1173.9368,1593.1617,1509.2612,1600.9947,1572.7273,1558.2555,1532.7419,1321.8651,1146.3524,1472.7380,1344.7445,1288.0606,1227.5072,1330.5583,1726.4897,1946.4210,1348.8055,1416.6667,1770.1149,1978.7918,1444.2860,1533.0661,1250.0000,1211.8227,2423.9008,1369.0362,1226.6527,1667.1429,1578.5880,1490.2439,1400.2597,1309.8470,1200.5540,1434.9264,1263.7043,2503.3758,1667.2241,1487.5123,2432.8451,2714.5723,1502.6202,1503.4247,1229.5104,1779.8043,1592.5750,1691.5730,1158.6281,1338.0208,1544.8882,1158.2003,1646.1556,1133.1328,1287.2615,1513.9935,1175.0881,1329.1095,1530.1408,695.2212,1360.4951,1216.0986,1706.8789
CS,3151.2615,5041.7743,2067.0665,3621.4511,4423.7253,3337.3860,3489.8990,3358.2555,3143.2193,2925.6074,2317.1714,3201.4193,2799.4214,3438.4081,3267.6218,3291.8707,4444.6018,2334.2310,4273.7201,3054.0293,3317.1062,2478.7918,3832.9599,2905.8116,2902.9088,2982.5347,1925.5919,3277.8663,3874.6065,3829.0476,4044.0577,3435.3659,3203.0812,3706.0884,3211.0803,1865.9342,3410.7143,3091.5229,3215.7191,3145.7227,1402.9296,1734.8167,2983.0813,3212.3288,3411.8913,3747.3164,3864.3503,2328.6517,3364.4159,3625.0000,3165.0177,3373.7300,2479.8464,2439.3259,2109.9536,2990.8504,3158.6369,2199.6949,4611.8310,6205.0737,2749.3553,3947.0631,3603.6961
