TCGA-19-1389,TCGA-19-1787,TCGA-19-0957,TCGA-19-1390,TCGA-19-2629,TCGA-32-2632,TCGA-06-2558,TCGA-16-1045,TCGA-32-1982,TCGA-14-1034,TCGA-28-2513,TCGA-12-0821,TCGA-14-2554,TCGA-14-0789,TCGA-16-0846,TCGA-32-1970,TCGA-06-2563,TCGA-14-0817,TCGA-14-0790,TCGA-19-2620,TCGA-12-1597,TCGA-12-3652,TCGA-06-0125,TCGA-28-2509,TCGA-32-2638,TCGA-06-2562,TCGA-14-0736,TCGA-06-2567,TCGA-06-2559,TCGA-02-2485,TCGA-27-2521,TCGA-02-2486,TCGA-19-2625,TCGA-28-2514,TCGA-27-1834,TCGA-41-2571,TCGA-19-2619,TCGA-14-1823,TCGA-14-1825,TCGA-27-2523,TCGA-27-1831,TCGA-14-1829,TCGA-27-2524,TCGA-12-3650,TCGA-06-0878,TCGA-32-2634,TCGA-27-2528,TCGA-27-2526,TCGA-28-1753,TCGA-27-1830,TCGA-28-1747,TCGA-14-0787,TCGA-27-1832,TCGA-06-0129,TCGA-19-2624,TCGA-27-2519,TCGA-27-1837,TCGA-06-0882,TCGA-06-2561,TCGA-06-2569,TCGA-06-0130,TCGA-12-3653,TCGA-06-0141
CYC1,0.0370130688579194,0.0518260144141879,0.0609031323795188,0.0298893189238332,0.0392122725973447,0.0345623788190175,0.0208496823887218,0.0136075635780375,0.0193377425618925,0.0194165533671677,0.0195809803730197,0.032691290439771,0.0302011174521806,0.0364386938791465,0.0238579913789311,0.0225074140924555,0.0196484931983124,0.0277251423593399,0.0170082855124957,0.0406082909464838,0.0427910406736585,0.0355940648816694,0.0383975217041373,0.0288307075843603,0.049018645051114,0.0193651973654122,0.0183467329098553,0.0163603134902682,0.0173543841115634,0.0223009202343122,0.0198972396748648,0.0216568847511858,0.0397605903714422,0.0305856807797824,0.0151987692594351,0.0376652302075118,0.0435209498054088,0.030922195115176,0.0157368799661455,0.0194522305109695,0.0292539414154315,0.0157772712792416,0.022440070910463,0.036985728493709,0.030635109720748,0.0402553657060111,0.0171878709559529,0.0187070859419916,0.0221017307354877,0.0484040283059749,0.0243378293076542,0.0293138535667356,0.0360746026690891,0.0559043375654519,0.0351562255823815,0.0169332100419414,0.0184805210075814,0.0323898527925776,0.0217114322581698,0.0180127641945691,0.0454038943677488,0.0336821174365535,0.0398419941766802
SDHB,0.0102684459107207,0.0100674485325349,0.00930020536908328,0.0113363166810625,0.0114099717021671,0.0106811994827033,0.00886158721641946,0.00697959620450929,0.0133577435106782,0.00741303437683637,0.0075788326493706,0.0102876607394248,0.00926329221041599,0.011856266561029,0.00968230809760402,0.00935825895837024,0.00929772426598765,0.00742825913618816,0.00934787511456849,0.0126365357415472,0.0127061711555035,0.0132610905532829,0.011231747965312,0.00840626451631947,0.0126741801712647,0.00728227472489839,0.00672181896338396,0.00818861697395903,0.00813161007613968,0.00763630683466287,0.00834424942957287,0.0109479767817429,0.0118776795567815,0.00885422069105992,0.00835910753116577,0.0121222881362465,0.012413411313041,0.00991870556076391,0.00615483231544575,0.0104964123282052,0.0134121905952057,0.0087422799416463,0.0101335862256702,0.0103169992520473,0.00763899758743226,0.00938052013017092,0.00793139364196001,0.00767709392647418,0.00751964225804719,0.00790569432897412,0.00862560809794693,0.0085649842132349,0.00815353798955613,0.0189754329873726,0.0127155692665901,0.00881948355899999,0.0072151992435876,0.00997351472381193,0.0104174610849071,0.0175046002474523,0.017609720868848,0.0123031937602958,0.0163298627732819
COQ7,0.0223587389129356,0.0199431535519106,0.0130118721612102,0.0164659519879277,0.017916952779518,0.0176933605320359,0.015912449048341,0.014662061624548,0.0183573007213568,0.0190325125012159,0.0145660436349759,0.0165027241942562,0.0172966566353237,0.0176266461642231,0.0197455219147891,0.0168822930391025,0.0166584472166659,0.0160060619139366,0.0151953999446575,0.0183618127631247,0.0200607327347506,0.0198239418744497,0.0437778841896758,0.0145197358787593,0.0174202068994275,0.0177171767180028,0.0179058758234546,0.0146784639969826,0.0149016550175904,0.0212419055883105,0.0164422509560919,0.0255426344769195,0.0176254265605784,0.0218252229639978,0.0145170750727599,0.0176971216782701,0.018909974628616,0.0148463211240299,0.0123793574936227,0.0171947858134099,0.0161389870007018,0.0183812810607803,0.0242790050125785,0.0161862902049079,0.016865327152244,0.0163034379212305,0.0140378542965409,0.015088196709444,0.0171749703552012,0.0158229818337477,0.0128337313473916,0.0188648582815145,0.0109056175622673,0.0558878098448053,0.0201627848583813,0.0142642644758625,0.0152826361079889,0.0196021442447568,0.0175935154280248,0.01562036816616,0.0572829394387818,0.0197703537571757,0.0986497916268051
SDHA,0.0327982788424049,0.0347283359446965,0.0279988259670686,0.0355232433589087,0.0307159326128435,0.0292641923265236,0.022934031783931,0.0225642911959173,0.0274730154741959,0.0237458732397083,0.018980256488346,0.0266131874660911,0.0292146738399769,0.0378656984805993,0.0389008845317771,0.0391050163417121,0.0244550791917213,0.0294242941080768,0.0213630814770628,0.0348067246952311,0.0296775656799422,0.0569425014583562,0.0771851882201548,0.0239823870599771,0.0349506612684222,0.0226060841639012,0.025139524292045,0.0190414210056542,0.0216889599258242,0.0249865531678481,0.0278003303866098,0.0221015320103407,0.0274333644204787,0.0276205843900037,0.0184693001451865,0.0323293622672325,0.0240739432883633,0.0124549415927398,0.0165946931160942,0.027848382449345,0.0318043031748951,0.024932611397985,0.0253462470414899,0.0378671530228636,0.0268782541391668,0.03409790501174,0.0183251555565386,0.0227875785886574,0.0264502440975597,0.0286069503069094,0.0157302541194583,0.0282855947749423,0.027698799717119,0.0661706539439534,0.0329089673565056,0.0245881932341517,0.0224016503713013,0.0256710309592975,0.0230930015772217,0.0289528737107015,0.0588294092534019,0.0272818767991616,0.0635121500979467
UQCRC1,0.0322738228971372,0.0298897698402684,0.0199002840668122,0.026283694806598,0.0298897687500645,0.024841900341199,0.0186240961971492,0.0142649105660237,0.0284452424977939,0.0116335334693225,0.0249520852279455,0.0165302047929337,0.025529734711857,0.0213074014319575,0.0241167911644359,0.0536455754824697,0.0234108983801209,0.0146236489190548,0.0223072941766694,0.0247581155294539,0.0828059564393726,0.0277186884109347,0.0392488545359548,0.0185912800964818,0.0355595310362878,0.0220782020214977,0.0250627180977309,0.039295134171323,0.0181017704557047,0.0323691621699905,0.0211980721139664,0.0281923115344866,0.0277034486025553,0.0239050840998958,0.0151812399737487,0.0254072505136698,0.0259921317769714,0.0266741388657247,0.00918439243584884,0.0203704278679752,0.0273194764499299,0.014366433732401,0.0542356387897987,0.0298145008142988,0.0247143527815454,0.022392362467765,0.0184295842431262,0.0188836676724209,0.0254152163173536,0.0213795938039424,0.0182076984147712,0.0169742087372924,0.0180442711747065,0.0410070404920635,0.0260607983710089,0.0257772425469438,0.0170807190414524,0.0151433177595076,0.0227214501203979,0.0256791703969544,0.0376961954933423,0.0381096787326935,0.0236826668852133
MRPL12,0.0307556736047691,0.0485789881878489,0.0213840353163648,0.0303887267534892,0.0325883109897289,0.0316283593783879,0.0505432652275984,0.0113441926792642,0.0200792530975374,0.0151767776256744,0.0127242393791231,0.0133369595818728,0.020255654282078,0.0142546198163957,0.0127634094854768,0.0273147664637425,0.0301835627231874,0.0123161136978986,0.0157461501969303,0.0279567526991807,0.0311627670489653,0.0308251401117011,0.0424741941986721,0.0474063114684921,0.0266251831668509,0.0189125784786702,0.0115434551558114,0.0231979849108812,0.0266020359108921,0.0207322724082056,0.0317046629128603,0.0169368137865057,0.0459753531081405,0.0278228836082236,0.00957348132145293,0.0255866776005784,0.0273970944357843,0.00924392046097269,0.00942044061779998,0.0221484231596324,0.0180058836662743,0.0119785099614986,0.0225798333502014,0.0327941841257953,0.010026076838739,0.0292217143796625,0.0174733224010526,0.0444107619691408,0.0198590472295638,0.0157713190231785,0.0130071453202842,0.0144759259395395,0.020886116897267,0.0269993540627371,0.0294521514773809,0.0232883253024502,0.0396431256734813,0.0127139370734374,0.0193341702081794,0.0233444156697599,0.0269285879092175,0.029476797013121,0.0227029949802663
ATP5D,0.0582878493505212,0.0461223549950128,0.0742835355286564,0.0302737884714902,0.0517743930430268,0.0632987830579621,0.0308160919044852,0.0709160746227174,0.0656556263388057,0.22734541690252,0.0722773779557422,0.0407115359815388,0.0572925185701664,0.0410773311939876,0.0323392337981385,0.0514566197485837,0.255527391296027,0.0361796667511279,0.0555108476330948,0.0458066591704626,0.0423131240405108,0.0273679253564568,0.0595386848604605,0.0245352293983796,0.0532000201787489,0.0389185670558021,0.0382539250972602,0.166786861119748,0.0338157288397257,0.177480584583021,0.0477920998510898,0.0563550225452094,0.0374032997825387,0.104139152271047,0.028499005403679,0.045988578397434,0.0354622088340003,0.131299805950708,0.0335842349095214,0.0475073232707799,0.0701722913190996,0.0786153775683897,0.0415411265496218,0.0545849376182093,0.0377680001030829,0.0319325278094997,0.132771072343871,0.117874768141761,0.0514112479084158,0.0721619466154227,0.0815828453653628,0.0375356836606943,0.0331396305186315,0.0536732970729844,0.0466569523253155,0.0587050913929168,0.0443631029844158,0.0441989982723069,0.042310756185038,0.221262483048324,0.0536847736459391,0.221356936489043,0.0769830555783999
COX5A,0.0110092821094253,0.00938116881776005,0.00893724463937478,0.00928847832327937,0.00982164770043854,0.00918927953502194,0.00956793849521883,0.00750200836289303,0.00868135427065962,0.00851145367021993,0.00782845211567521,0.00858650808385483,0.00986741274450014,0.00998176235007627,0.00789339808553319,0.0125670712576218,0.00968480123713128,0.00802340144172929,0.00880352210569214,0.0107955932650996,0.00955956393942058,0.00913156196787675,0.0109366076317714,0.00969995956413264,0.0105964897547844,0.00627333719380036,0.0072875899071266,0.0136001592046465,0.00816273406063185,0.00945866105315119,0.00962274115046725,0.0112826654071146,0.00956637303145887,0.0105067496064294,0.00767543539208215,0.0096447617212633,0.00966445350182678,0.00740354384314353,0.00753075398830134,0.0127155611986736,0.0105490863814422,0.00817355401251738,0.0106360013706482,0.00924420895009957,0.00776408053218597,0.00707607083378063,0.00895199142978005,0.00849081519138823,0.00809976076109111,0.00990811647879555,0.00871498310109976,0.0104921688357545,0.00760287024927182,0.0172469812695552,0.00946880425448438,0.00928047245994926,0.00815182117958798,0.00878786217612112,0.0100058738897184,0.00747180287075137,0.0111526187230323,0.010916984521629,0.0123385581268484
ISCA2,0.0200574354361279,0.0487999689095573,0.0281768030223583,0.046292723646656,0.0455674691587233,0.0347771779087357,0.0203352892421859,0.0216366995856253,0.030579262421487,0.0176746277489981,0.0229079779509316,0.0379768544494283,0.0268380191795159,0.0323789747197002,0.0314285833968598,0.0240148774298857,0.0197354555047063,0.0429878718621702,0.0254268598854649,0.0351067197419026,0.0432159656150038,0.0346708012541736,0.0612966816149925,0.0239639079041973,0.0362348616191692,0.0237477629030588,0.0167448039930464,0.02258074370823,0.0203331014620903,0.0209857076615993,0.0229696464322203,0.021068675418621,0.0425768790174873,0.0285170527883957,0.0160782458866874,0.0313067857196744,0.0322784897525022,0.015808947491126,0.0199343659117571,0.027209175111277,0.0270044959429967,0.0218744790305144,0.0240509885139486,0.0389810304641447,0.040067999081139,0.0519084859546332,0.0212739509228409,0.0232883792847748,0.0200425589980467,0.0214774165068371,0.021733325265749,0.0313375736516044,0.0228408659209455,0.0623637704053841,0.0345692593056672,0.0296314403224888,0.0237632259111174,0.0254568330597223,0.0260338080170144,0.0215027174416911,0.0716554750967619,0.0388276198331673,0.0515956629708411
PMPCB,0.0282362371345216,0.0296865136073851,0.0225469989470893,0.0472458852901964,0.0204916133141379,0.0236358152435576,0.0322581209522945,0.0197817173647105,0.0232279032623131,0.0211997333472849,0.0235769946976277,0.0251445039761049,0.0356701282025423,0.0222443089382614,0.0270433514087251,0.0610089679336221,0.247834911476039,0.032491836708687,0.204783489673266,0.0223499673810057,0.0195671384263953,0.0183240267559423,0.0273140726236648,0.0254229121911183,0.0195185492081303,0.0214849752787811,0.0545638857904056,0.0234410731147049,0.02119743362092,0.0342583195249491,0.0260448015854272,0.0239258191449291,0.0202874951208111,0.0257973967142737,0.0215772786839641,0.202005597871579,0.019736538098663,0.0207399554997121,0.0207493578650445,0.0236652801681067,0.0298540577543388,0.0240399641325323,0.0288012645919508,0.0190800605894904,0.0230017827956911,0.0144206551260939,0.018870938322119,0.0307835530238688,0.0244764206909773,0.0461316964702144,0.025777477562963,0.131695440627076,0.0131052989317411,0.0332242285402026,0.0185270030273443,0.0415655239506937,0.0257124879399594,0.0189868879352176,0.020833845062972,0.0242065147313142,0.0358538567031391,0.0286982077057155,0.03280091668745
UQCRFS1,0.00643702781468598,0.00680794278054387,0.00650571363322554,0.00638720052797528,0.00808924069137512,0.00697916373199311,0.00604724348487005,0.00595145161245466,0.00757636830962355,0.00636376613938788,0.00578634788229586,0.00580218724625338,0.00646186168940188,0.00674626967699992,0.00667548116761402,0.00667228285678486,0.00657138242085604,0.00499345352176273,0.00586213857116286,0.00711500247504249,0.00736063442557369,0.00611702912547708,0.0147912181082069,0.00669172369190276,0.00847737389760479,0.00638550786092366,0.00600103015937986,0.00608500410229045,0.00562229046936196,0.00684837343870997,0.00674679957696811,0.00736222208626043,0.00648876959729503,0.00673573980562379,0.00525852287447901,0.00746442409948635,0.00810622466903641,0.0046855152665459,0.00541574184054749,0.00948836803663777,0.00735802499465002,0.00583865588415089,0.00756881877970138,0.00641570961322474,0.0058314456071137,0.00682369316842898,0.00621855047039873,0.00620109234287311,0.00687244238408665,0.00653296520457615,0.00635176384534295,0.00792570057166179,0.00590494418213116,0.0132981301717155,0.00786846301411137,0.00788047000067884,0.00628435813689434,0.00825447610911669,0.00565606790080312,0.00702984124808554,0.0107781037336507,0.00604141647663232,0.0106823192430947
ATP5A1,0.430514230787138,0.101270150508903,0.264423574647491,0.151498541223303,0.102760273381919,0.102871625060842,0.139310957804458,0.174855238579018,0.112317801065683,0.193157577550584,0.244301002703092,0.110854188706072,0.110570167909739,0.206519047450433,0.242067216077617,0.122899468166438,0.108661640057086,0.134134792961007,0.166154372310072,0.160853624987262,0.128191788389329,0.141457080554233,0.172443065722678,0.111873645460249,0.125681151313775,0.104152568746223,0.143615144776889,0.0858844518612285,0.139638940807622,0.0992381255761254,0.0840926713270757,0.100734085266622,0.208363313943506,0.129273580519754,0.132642457919544,0.126034098237969,0.131815100251937,0.169016876807911,0.211423680991583,0.0886041258871052,0.15126591851463,0.158056997605569,0.103545588106173,0.130527168326632,0.169702362796542,0.208096240723134,0.101216548674606,0.0843138580145369,0.141706541551792,0.499309851872291,0.108662564803107,0.113179682666275,0.362161704991487,0.231092409961379,0.124764457687063,0.172143032064464,0.0981478052990763,0.136599874893706,0.129687621450222,0.114211553065106,0.273861862000862,0.117631476064235,0.388596171157415
OGDH,0.686635670027271,0.610970435280352,0.848465814510016,0.697927340032424,0.786531671847177,0.659314405461047,0.448254540883558,0.564979412366554,0.564054331176951,0.678012253131675,0.515503097237636,0.307848625634334,0.670460890468712,0.799106221409536,0.815922589833347,0.72541758708382,0.711808849508322,0.837927274030921,0.727073576963211,0.599814638268261,0.685878098901959,0.537428000918822,0.855549049278343,0.588835985323169,0.615075835782653,0.695299501317216,0.489232400010107,0.801027865683578,0.862475023600731,0.870316532988974,0.438859291063635,0.859464869833142,0.612414996794083,0.247757982475009,0.717690951753436,0.484738579614136,0.457272687003275,0.766331927715552,0.588024451581378,0.819743266152264,0.615928258615822,0.799499785150393,0.859683323516922,0.826768486025072,0.604996287574772,0.577664748111438,0.555773381698054,0.723768063819149,0.696691612517267,0.660811106220229,0.549655173073399,0.840727929006924,0.670124424345973,0.520526708344873,0.583761476156634,0.463965392353565,0.786448764712838,0.593640224367133,0.486316043299855,0.0472004080129713,0.537344417438081,0.19110578777224,0.610685242175029
PDHB,0.0164112537473076,0.0185692793682031,0.0205650341488094,0.0145058661149079,0.0142253916562076,0.015776822767149,0.0145919982055344,0.012899492677971,0.0163185970672459,0.0133528791519791,0.0164680503510557,0.0149485134053664,0.0168023484082072,0.0224158370135,0.0159087391407606,0.0165091608744931,0.0161306939057679,0.0170043434036397,0.0170470367690631,0.0176658788035192,0.0211198657800029,0.0188557538856809,0.0252979108459511,0.017782909526534,0.0187258736075648,0.0142396535346772,0.0141885764990019,0.0164622052980712,0.0156609269445331,0.0145937982324162,0.0148291582558346,0.0170476878971732,0.0189598521757194,0.0163476943669311,0.012551433168324,0.0157726744838437,0.0169969050791821,0.015213359556323,0.00920988018649039,0.0159406501817897,0.0241209402626201,0.0159345435802263,0.0162888434982341,0.0196690176620036,0.0208686104655605,0.0132292494458771,0.0178146161917664,0.0165693870216917,0.0177041793588752,0.0177147188616995,0.0144335419600435,0.0165413214920723,0.0137406518064551,0.0232736166139629,0.0172174090084,0.0138326563627944,0.0148904946291691,0.019805223807591,0.0158289986603971,0.0178725785235492,0.0218538793574606,0.0214933099701112,0.0270139625052881
UQCRC2,0.0822458466203429,0.065988014894775,0.0612711744098367,0.0672518261260277,0.047973538315856,0.0603620173750092,0.0324635949649923,0.0488631622892423,0.0419158807867456,0.0473658343506367,0.0318031862024862,0.0527258747642994,0.0361386194045512,0.0748513288599651,0.0822429058818033,0.0347905927185598,0.0284909858281252,0.0456434651372012,0.0315506197901658,0.0611515494592911,0.0618170335062423,0.050562818949148,0.08129693082419,0.0456695661277727,0.0520792332496207,0.0409821032409481,0.0622400428629131,0.0263957115322642,0.0314278756426463,0.0355217843948335,0.0388367458280904,0.0441167830728407,0.0700194803770224,0.0353001872765776,0.0519456255614297,0.0610887939409644,0.056084639481295,0.0315004963942964,0.0231165869976672,0.0315598699200624,0.0280303271438765,0.0355212257177804,0.0447900684670683,0.0609721849496706,0.0591128480827158,0.0628904048365601,0.0270933727868536,0.0390409238548804,0.057930339637464,0.112562101298778,0.0280651932243077,0.0775397669282661,0.0464425809421214,0.0564973660397484,0.0498453440883242,0.0328849274013722,0.0298918631927593,0.0644368254881988,0.0344292746857324,0.0396625125466342,0.0778557444687785,0.0692287369669102,0.0763969594160031
SDHD,0.0112024173550905,0.0110932586665937,0.00803241647826336,0.0103770933537195,0.0109540516387737,0.0132047664465804,0.00861224984466027,0.00745478803892596,0.0118449969553431,0.0090956867171291,0.00801198403900329,0.00873166908158492,0.0105532569158506,0.00997408865955804,0.00999780660737943,0.00973894838000533,0.00896619335809203,0.009661579387381,0.00872732466524067,0.0109290190545082,0.0129149206550525,0.0120150828109933,0.0122226674814313,0.0103892912348726,0.0121562334018682,0.00772656253718383,0.00659521660084452,0.00836166353182905,0.00879148551270235,0.0100725951146149,0.00759660284869296,0.00888498796196666,0.00902226091916851,0.0120267487283614,0.00620795240641403,0.011460348340214,0.0106383002282879,0.00677551488734139,0.00593579263163551,0.00986839478455209,0.0118295559167207,0.00753812463472476,0.0106393468713178,0.0124204764881222,0.00948156359637677,0.00791186669504508,0.0109382991294977,0.00851501929739477,0.00835423878797081,0.0102729435497872,0.00888066680973366,0.0109116882387712,0.00723886629753523,0.0235839167970568,0.0114292985852677,0.00880077275228398,0.00849942327195163,0.00919182856429103,0.00899470711095554,0.00880411899594297,0.0160653768747913,0.0121691671237794,0.0492460905639976
MRPS35,0.0169570296869782,0.0176139514171582,0.0230077206091033,0.0227064604122239,0.0165006606613649,0.0213175042045509,0.018001698508116,0.0138769456043199,0.021524997740938,0.0147780608891622,0.0178746968089551,0.0138360346983983,0.0169043309766479,0.0157811043195478,0.0170569187322858,0.0157406692949862,0.0167008990303055,0.013051711174301,0.0123557443698931,0.0199094204380212,0.0185499028374475,0.0185025577770335,0.0306790239878824,0.0161042246583633,0.017292269245514,0.0183234792681116,0.0141605250387272,0.014778456707768,0.0159810828008068,0.0196376973147925,0.0157977195537198,0.016363457801539,0.0256647210957543,0.0244546847964924,0.0139428992722351,0.0180205576148988,0.0186580580789503,0.0108513982719875,0.0129948300349033,0.0179568682016763,0.0212872398201826,0.0141511074063099,0.0187495962593369,0.0197995630676099,0.0125107842605384,0.0175698600587772,0.0169446749736355,0.0161038021849683,0.0172005130692793,0.0150544188588273,0.0153970337278372,0.0144625451447651,0.016425334104134,0.0376655363426782,0.0202535285073489,0.0153546487889893,0.0154580520973399,0.0152777511066061,0.0124457002653017,0.0170514078294675,0.0367704622945392,0.0190755116101937,0.0359836126151449
UQCRQ,0.00936939515544692,0.0128597886307106,0.0101556385306979,0.0134615313463403,0.0153338446543652,0.0121847589967196,0.00979250936819091,0.0049440148002206,0.0114212996505875,0.00527068470450744,0.0083463887862256,0.00540084410350711,0.00893704153929934,0.00646151763452292,0.00696532552526826,0.0123235533639358,0.00933811469744585,0.00525269416002379,0.010719165318513,0.0122991302280069,0.0135098798259341,0.0102245118957586,0.00792411896934428,0.00997253061322887,0.0144158888271699,0.00828973841864566,0.00508659850269731,0.00957280232118525,0.00933686316325623,0.00914465350999992,0.00936809031879458,0.00965425707497096,0.0127110035019343,0.0122923321886977,0.0037427993849229,0.0139713110880087,0.0104143138428847,0.00344095777120202,0.0033778579752211,0.0103821603119011,0.00782935150187569,0.00420357086493528,0.011058153184483,0.011626315718089,0.00540236937055768,0.0147028521845805,0.00734289576432618,0.0086197210953795,0.0104836314482432,0.00606878237140536,0.00963197013931776,0.00705704703220398,0.00465241191806898,0.0123927476933054,0.0133952414215165,0.00960749521670229,0.00831521584154925,0.00798956505206094,0.00776808238892055,0.0118412417321658,0.00950093721236844,0.0134610779651851,0.00977060058749207
MRPL53,0.075908088430549,0.0509727238898427,0.0448998694333787,0.0503138858880657,0.0465709026704194,0.0422717727720661,0.0319398618992064,0.0406766201487052,0.0262056511192588,0.028466447287422,0.0255584438542995,0.031902109778013,0.0279667458629621,0.0424680065492865,0.0421659979069779,0.0266473684339109,0.0266978030219408,0.0352148370269806,0.0249584277933483,0.0563286466798584,0.0482232973720518,0.0467268022651833,0.100296548810135,0.0474438338078555,0.0353863521315996,0.0309279445443237,0.0280444206487237,0.0318189709286213,0.026824588512692,0.0306279992310476,0.0270871029202745,0.0303980627250151,0.0536529484015546,0.0267178842405633,0.0227361758202549,0.0464315107629529,0.0466374476254546,0.0201138251621267,0.0179294351734972,0.0311221517501661,0.0229625491696517,0.0282066917892983,0.0372366693796019,0.0534946907396272,0.0354845988329726,0.0450775237368795,0.0281050403913988,0.0290694825786522,0.0318625240363156,0.0373984765751576,0.0283744463912881,0.0382534112123885,0.0383200080920368,0.0582688639605295,0.0554370005139677,0.0224453893776331,0.0242726427612395,0.0327378445381865,0.0249063160130429,0.0222476336692429,0.060412433456615,0.0382437523475057,0.0607481709394143
