TrainingDataset,HumanGeneID,Symbol,Synonyms,Description,EnsemblGeneID
Tmito,1537,CYC1,MC3DN6|UQCR4|P08574,cytochrome c-1,ENSG00000179091
Tmito,6390,SDHB,CWS2|IP|PGL4|SDH|SDH1|SDH2|SDHIP|P21912,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",ENSG00000117118
Tmito,10229,COQ7,CAT5|CLK-1|CLK1|Q99807,"coenzyme Q7 homolog, ubiquinone (yeast)",ENSG00000167186
Tmito,6389,SDHA,CMD1GG|FP|PGL5|SDH1|SDH2|SDHF|P31040,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",ENSG00000073578
Tmito,7384,UQCRC1,D3S3191|QCR1|UQCR1|P31930,ubiquinol-cytochrome c reductase core protein I,ENSG00000010256
Tmito,84274,COQ5,Q5HYK3,"coenzyme Q5 homolog, methyltransferase (S. cerevisiae)",ENSG00000110871
Tmito,5160,PDHA1,PDHA|PDHCE1A|PHE1A|P08559,pyruvate dehydrogenase (lipoamide) alpha 1,ENSG00000131828
Tmito,57017,COQ9,C16orf49|COQ10D5|O75208,coenzyme Q9,ENSG00000088682
Tmito,6182,MRPL12,5c5-2|L12mt|MRP-L31/34|MRPL7|MRPL7/L12|RPML12|P52815,mitochondrial ribosomal protein L12,ENSG00000262814
Tmito,513,ATP5D,P30049,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",ENSG00000099624
Tmito,9377,COX5A,COX|COX-VA|VA|P20674,cytochrome c oxidase subunit Va,ENSG00000178741
Tmito,122961,ISCA2,HBLD1|ISA2|c14_5557|Q86U28,iron-sulfur cluster assembly 2,ENSG00000165898
Tmito,9512,PMPCB,Beta-MPP|MPP11|MPPB|MPPP52|P-52|O75439,peptidase (mitochondrial processing) beta,ENSG00000105819
Tmito,7386,UQCRFS1,RIP1|RIS1|RISP|UQCR5|P47985,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",ENSG00000169021
Tmito,498,ATP5A1,ATP5A|ATP5AL2|ATPM|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1|P25705,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",ENSG00000152234
Tmito,4967,OGDH,AKGDH|E1k|OGDC|Q02218,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),ENSG00000105953
Tmito,5162,PDHB,PDHBD|PDHE1-B|PHE1B|P11177,pyruvate dehydrogenase (lipoamide) beta,ENSG00000168291
Tmito,7385,UQCRC2,MC3DN5|QCR2|UQCR2|P22695,ubiquinol-cytochrome c reductase core protein II,ENSG00000140740
Tmito,6392,SDHD,CBT1|CII-4|CWS3|PGL|PGL1|QPs3|SDH4|cybS|O14521,"succinate dehydrogenase complex, subunit D, integral membrane protein",ENSG00000204370
Tmito,60488,MRPS35,MDS023|MRP-S28|MRPS28|P82673,mitochondrial ribosomal protein S35,ENSG00000061794
Tmito,27089,UQCRQ,MC3DN4|QCR8|QP-C|QPC|UQCR7|O14949,"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa",ENSG00000164405
